,building characteristics factors,,,,,,,,,Structural and architectural factors,,,,,Financial properties factors,,,Social Factors,,Governmental Factors,,Physical/Environmental Factors,Economic factors,,,,,Output
Project 911,205,95,25,3500000,2,2,2,2,2,2,1,2,2,2,1550,10,2600,3,2,1,2,2,11.43333333,8.433333333,2,8.437666667,10,367000
Project 912,205,95,57,4505000,2,2,2,2,2,2,1,2,2,2,2700,10,4100,3,2,1,2,2,16.53333333,29.73333333,3,29.76633333,12,565000
Project 913,185,90,21,2500000,2,1,2,1,1,2,1,1,2,1,3150,13,4500,1,1,1,1,2,19.7,26.23333333,1,26.23333333,15,585000
Project 914,175,80,21,2250000,2,2,2,1,1,2,1,2,2,1,2350,13,3600,1,1,1,1,2,15.4,18.76666667,1,18.753,10,302000
Project 915,305,135,14,6350000,2,2,2,2,1,3,3,2,2,3,3200,14,5000,3,1,2,1,2,18.23333333,12.96666667,2,12.985,13,830000
Project 916,265,115,11,5200000,2,2,2,1,2,3,2,1,1,2,3500,10,5150,3,3,2,2,1,17.53333333,13.76666667,3,13.742,5,750500
Project 917,245,105,13,3210000,2,1,2,1,2,3,2,2,1,2,3300,10,4700,3,3,2,2,1,17.5,14.56666667,2,14.573,4,638000
Project 918,155,75,6,2200000,2,2,2,1,2,2,1,2,1,1,3500,7,4950,1,2,1,1,2,17.53333333,13.76666667,2,13.742,6,430000
Project 919,145,75,11,1190000,2,1,2,1,1,2,1,1,1,1,3300,9,4500,3,1,1,1,2,17.5,14.56666667,2,14.573,7,372500
Project 920,195,85,18,2200000,2,2,2,1,1,2,2,2,1,2,3400,8,4850,1,2,1,1,2,17.9,15.13333333,3,15.10033333,8,545000
Project 921,205,90,21,4300000,2,1,2,2,2,3,2,2,1,2,3300,9,4900,3,2,1,1,2,17.5,14.56666667,2,14.573,10,583250
Project 922,195,85,11,2100000,2,1,2,1,2,3,1,2,2,2,3500,10,4950,3,1,2,2,2,17.53333333,13.76666667,3,13.742,5,550000
Project 923,235,105,19,3400000,2,2,2,1,2,3,2,2,2,1,3600,9,5100,3,2,1,1,2,16.66666667,12.16666667,3,12.16,8,692000
Project 924,225,100,22,910000,2,2,2,1,2,3,2,1,2,1,1400,10,2350,3,1,1,1,2,11.86666667,11.2,2,11.21833333,13,254500
Project 925,205,90,13,1000000,2,1,2,1,2,2,2,2,2,1,1450,10,2400,1,2,1,1,2,11.76666667,10.33333333,2,10.35033333,10,236750
Project 926,210,95,23,900000,2,1,2,1,2,3,2,1,1,1,1350,10,2300,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,9,232000
Project 927,220,100,20,930000,2,2,2,2,2,3,2,2,1,2,1400,9,2350,3,2,1,1,2,11.86666667,11.2,2,11.21833333,7,254500
Project 928,175,80,11,1000000,2,1,2,2,2,2,1,2,1,1,1450,10,2400,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,5,213250
Project 929,175,80,11,800000,1,1,1,1,1,2,1,1,1,1,1500,10,2350,3,2,1,1,2,11.63333333,10.6,3,10.575,4,199000
Project 930,190,80,13,950000,2,1,1,1,1,2,1,1,1,1,1550,10,2500,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,5,222750
Project 931,185,80,11,2870000,2,1,2,2,2,2,2,2,2,2,3300,10,4700,3,3,2,2,2,17.5,14.56666667,3,14.573,6,498250
Project 932,170,100,19,2150000,2,1,2,2,2,3,1,1,2,1,3750,12,5300,1,2,1,1,2,17.53333333,13.76666667,3,13.742,11,600000
Project 933,200,100,21,4150000,2,1,2,1,2,3,1,2,2,2,3550,11,5250,1,2,1,1,2,17.5,14.56666667,2,14.573,9,647500
Project 934,220,110,19,3270000,2,2,2,1,2,3,2,1,1,1,3750,12,5300,3,2,1,1,2,17.53333333,13.76666667,3,13.742,12,740000
Project 935,230,120,21,2340000,2,2,2,1,2,3,2,1,1,2,3850,13,5450,3,1,1,1,2,16.66666667,12.16666667,2,12.16,9,818000
Project 936,260,130,11,5300000,2,2,2,2,2,3,2,2,2,2,3550,12,5250,3,3,2,2,2,17.5,14.56666667,2,14.573,12,834000
Project 937,250,130,16,6290000,2,1,2,1,2,3,3,1,1,3,3650,15,5600,3,3,2,2,2,17.9,15.13333333,2,15.10033333,14,888000
Project 938,210,110,13,4300000,2,1,2,2,2,3,2,2,1,2,2900,14,4450,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,12,645000
Project 939,240,115,11,4360000,2,1,2,2,2,3,1,2,2,1,3200,14,4850,3,2,1,1,2,19.7,26.23333333,1,26.23333333,7,715500
Project 940,220,100,10,3150000,2,1,2,2,2,3,2,1,2,1,3350,13,4850,3,3,2,2,2,19.63333333,14.93333333,2,14.928,9,630000
Project 941,230,100,11,4250000,2,2,2,1,2,3,1,2,2,2,3450,13,5150,3,2,2,2,2,18.23333333,12.96666667,2,12.985,6,657000
Project 942,235,120,11,5240000,2,1,2,2,2,3,2,2,1,2,3550,14,5250,3,2,1,1,2,17.5,14.56666667,2,14.573,6,779500
Project 943,270,140,17,3430000,2,1,2,1,2,3,3,2,1,2,2850,18,4200,1,1,1,1,2,15.4,18.76666667,1,18.753,10,784250
Project 944,240,130,22,2430000,2,2,2,1,2,3,3,2,2,2,2300,16,3500,1,2,1,1,2,13.83333333,14.53333333,1,14.51866667,13,660250
Project 945,210,115,16,1430000,2,1,2,1,2,3,1,1,1,1,2250,18,3350,1,1,1,1,2,13.06666667,12.2,2,12.181,9,596000
Project 946,240,130,20,3430000,2,2,2,2,2,3,1,2,2,2,3800,16,5300,3,2,1,1,2,17.5,14.56666667,2,14.573,8,883500
Project 947,260,145,13,2430000,2,2,2,1,2,3,3,1,2,3,4000,14,5550,3,2,1,1,2,17.53333333,13.76666667,2,13.742,9,990500
Project 948,340,135,13,4430000,2,2,2,1,2,3,3,2,2,3,4000,15,5750,1,1,1,1,2,17.53333333,13.76666667,2,13.742,9,955000
Project 949,340,110,20,4430000,2,1,2,2,2,3,1,1,1,3,4100,16,5900,1,2,1,1,2,16.66666667,12.16666667,2,12.16,12,826250
Project 950,250,135,23,2380000,2,1,2,1,2,3,2,2,1,2,2850,17,4200,1,3,1,1,2,15.4,18.76666667,1,18.753,15,770000
Project 951,320,175,28,4380000,2,2,2,1,2,5,3,2,1,3,3800,20,5700,3,2,1,1,2,17.5,14.56666667,2,14.573,17,1185000
Project 952,330,175,28,4530000,2,1,2,2,2,5,3,1,1,3,4100,18,6100,3,2,1,1,2,16.66666667,12.16666667,3,12.16,15,1255000
Project 953,340,185,18,4730000,2,1,2,1,2,5,3,1,1,3,3800,16,5700,3,3,2,2,2,17.5,14.56666667,2,14.573,13,1235000
Project 954,260,145,20,5730000,2,2,2,2,2,4,3,2,2,3,4100,17,6100,3,2,1,1,2,16.66666667,12.16666667,3,12.16,14,1056500
Project 955,260,145,23,4730000,2,1,2,2,2,4,3,2,1,3,3900,18,5850,3,2,2,2,2,17.9,15.13333333,1,15.10033333,12,1034500
Project 956,260,145,23,5030000,2,1,2,1,2,4,2,2,1,3,3800,18,5700,3,2,2,2,2,17.5,14.56666667,1,14.573,15,1007000
Project 957,280,155,23,5430000,2,2,2,1,2,4,3,2,2,3,4200,16,6250,3,3,2,2,2,15.96666667,7,3,6.962666667,10,1118000
Project 958,260,145,28,4430000,2,1,2,1,2,4,2,2,2,3,3800,16,5700,3,3,2,2,2,17.5,14.56666667,2,14.573,13,1012500
Project 959,320,175,23,4380000,2,2,2,2,2,4,3,2,1,3,2250,18,3700,3,2,1,1,2,13.06666667,12.2,2,12.181,12,921000
Project 960,320,175,23,3380000,2,1,2,2,2,4,3,2,1,3,3150,16,4700,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,11,1138000
Project 961,300,165,18,2580000,2,2,2,2,2,5,3,1,1,3,4000,19,5750,3,2,1,1,2,17.53333333,13.76666667,2,13.742,13,1134000
Project 962,240,135,15,3580000,2,2,2,1,2,3,2,2,1,3,4100,19,5900,3,1,1,1,2,16.66666667,12.16666667,2,12.16,9,970000
Project 963,230,125,16,2680000,2,1,2,1,2,3,2,1,1,3,3900,16,5650,3,1,1,1,2,17.9,15.13333333,2,15.10033333,8,884000
Project 964,230,125,16,3680000,2,1,2,1,2,3,2,1,1,3,3700,14,5400,3,1,2,2,2,18.23333333,12.96666667,2,12.985,12,1002500
Project 965,210,100,12,2480000,2,1,2,1,2,3,1,2,1,1,1750,11,3050,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,8,559000
Project 966,210,100,12,3590000,2,1,2,1,2,3,1,2,1,2,1800,14,3100,3,1,1,2,2,11.66666667,8.5,2,8.489,8,763500
Project 967,250,115,26,2530000,2,2,2,2,2,3,2,2,2,3,4000,14,6300,3,1,2,1,1,14.3,4.6,2,4.624666667,16,923000
Project 968,220,110,19,3530000,2,1,2,2,1,3,2,2,1,2,3600,17,5350,1,3,2,1,2,17.9,15.13333333,2,15.10033333,13,778750
Project 969,205,105,15,3130000,2,1,2,2,1,3,2,2,1,1,1500,17,2700,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,11,465000
Project 970,175,100,21,2130000,2,1,2,2,1,3,2,2,1,1,1500,17,2900,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,16,423000
Project 971,200,100,13,3230000,1,2,1,1,2,2,1,1,1,1,1700,16,2750,1,2,1,1,2,11.63333333,10.6,2,10.575,21,395000
Project 972,200,125,15,3130000,2,1,1,2,2,3,3,2,2,2,2550,17,4350,3,3,2,2,1,15.4,18.76666667,1,18.753,11,745000
Project 973,320,115,16,3180000,2,1,2,2,2,3,2,2,1,3,3800,12,5600,1,3,2,2,1,16.66666667,12.16666667,2,12.16,13,840500
Project 974,270,125,25,1930000,2,1,2,1,1,3,2,1,1,3,4000,11,5850,1,3,2,1,1,14.3,4.6,2,4.624666667,16,925000
Project 975,170,80,27,3700000,2,2,2,2,2,2,1,1,1,1,3500,10,4750,2,2,1,1,2,17.53333333,13.76666667,2,13.742,14,543250
Project 976,220,95,22,3400000,2,1,2,1,1,2,2,2,1,1,2500,11,3900,2,2,2,2,2,16.53333333,29.73333333,1,29.76633333,18,530000
Project 977,200,95,11,3150000,2,2,2,1,2,2,2,1,1,1,2800,10,3600,1,1,1,1,2,19.23333333,32.16666667,1,32.15333333,6,497000
Project 978,220,100,13,3650000,2,2,1,2,1,2,2,2,2,2,3300,12,5300,3,2,1,1,2,17.5,14.56666667,2,14.573,8,725000
Project 979,210,100,8,3600000,2,1,2,1,2,2,2,2,1,2,1650,11,2850,3,1,2,2,2,11.63333333,10.63333333,3,10.61366667,5,701250
Project 980,160,80,9,3300000,2,2,2,1,2,2,1,2,1,1,1700,10,2900,3,1,2,2,2,12.1,9.4,3,9.414666667,5,641500
Project 981,160,80,12,2300000,2,1,2,1,2,2,1,1,1,2,1750,11,3000,3,1,1,1,2,13.06666667,12.2,2,12.181,6,650500
Project 982,160,80,8,3050000,2,1,2,1,2,2,1,1,1,1,2350,10,3750,3,1,2,1,2,15.4,18.76666667,1,18.753,5,736000
Project 983,160,80,8,3050000,2,1,2,1,2,2,1,1,1,1,2500,10,3900,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,5,772000
Project 984,190,85,8,3050000,2,1,2,1,2,2,1,1,1,2,2500,11,3900,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,5,815000
Project 985,190,85,8,2050000,2,1,2,1,2,2,1,1,1,2,1400,11,2550,3,1,2,1,2,11.86666667,11.2,1,11.21833333,7,620000
Project 986,190,85,8,2050000,2,1,2,1,2,2,2,1,1,1,1400,10,2550,3,1,2,1,2,11.86666667,11.2,3,11.21833333,6,620000
Project 987,210,100,10,3140000,2,1,2,1,2,2,2,1,1,2,1350,11,2500,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,5,649500
Project 988,220,105,12,3350000,2,1,2,1,2,3,2,1,1,2,1500,11,2650,3,1,1,1,2,11.63333333,10.6,3,10.575,5,697000
Project 989,220,105,15,3550000,2,2,2,2,2,3,2,2,2,2,1550,10,2750,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,6,709000
Project 990,240,130,34,1060000,2,1,2,1,2,3,2,1,1,2,2000,18,2950,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,19,712000
Project 991,250,130,31,1080000,2,2,2,2,2,3,2,2,1,2,2050,16,3000,3,2,1,1,2,11.86666667,11.2,2,11.21833333,17,734500
Project 992,205,100,22,1160000,2,1,2,2,2,3,1,2,1,1,2100,17,2950,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,15,693250
Project 993,205,110,22,960000,1,1,1,1,1,3,2,1,1,2,2150,16,3100,3,2,1,1,2,11.63333333,10.6,3,10.575,14,679000
Project 994,190,110,24,1110000,2,1,1,1,1,3,1,1,1,2,3900,17,5300,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,15,702750
Project 995,185,110,22,3010000,2,1,2,2,2,3,2,2,2,3,4100,17,5550,3,3,2,2,2,17.5,14.56666667,3,14.573,16,978250
Project 996,145,100,25,2110000,2,1,2,2,2,3,1,1,2,2,3900,16,5500,1,2,1,1,2,17.53333333,13.76666667,3,13.742,17,890000
Project 997,175,100,27,4110000,2,1,2,1,2,3,1,2,2,3,4100,17,5550,1,2,1,1,2,17.5,14.56666667,2,14.573,15,937500
Project 998,195,120,25,3210000,2,2,2,1,2,3,2,1,1,3,4200,18,5700,3,2,1,1,2,17.53333333,13.76666667,3,13.742,18,1030000
Project 999,205,130,27,2260000,2,2,2,1,2,3,2,1,1,3,3900,17,5500,3,1,1,1,2,16.66666667,12.16666667,2,12.16,15,1108000
Project 1000,235,140,22,5260000,2,2,2,2,2,3,3,2,2,3,4000,20,5850,3,3,2,2,2,17.5,14.56666667,2,14.573,18,1124000
Project 1001,225,140,22,6260000,2,1,2,1,2,3,3,1,1,3,3250,19,4700,3,3,2,2,2,17.9,15.13333333,2,15.10033333,20,1178000
Project 1002,185,120,19,4260000,2,1,2,2,2,3,2,2,1,3,3550,19,5100,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,18,935000
Project 1003,215,110,19,4310000,2,1,2,2,2,3,2,2,2,3,3700,18,5200,3,2,1,1,2,19.7,26.23333333,1,26.23333333,13,1005500
Project 1004,195,110,19,3110000,2,1,2,2,2,3,1,1,2,3,3550,16,5000,3,3,2,2,2,19.63333333,14.93333333,2,14.928,15,920000
Project 1005,225,105,33,3340000,2,2,2,1,2,3,2,1,1,3,3100,18,4600,3,3,2,2,2,17.23333333,30.33333333,3,30.31233333,16,1343750
Project 1006,235,110,29,3540000,2,1,2,2,2,3,2,2,1,3,3750,17,5400,3,3,2,2,2,17.5,14.56666667,2,14.573,18,1895000
Project 1007,255,120,27,4540000,2,1,2,2,2,3,2,1,1,3,3950,19,5900,3,3,2,2,2,17.53333333,13.76666667,3,13.742,21,2127500
Project 1008,255,120,29,3530000,2,2,2,2,2,3,2,1,1,3,3850,18,5550,3,3,2,2,2,17.9,15.13333333,3,15.10033333,20,2078000
Project 1009,275,110,48,3660000,2,2,1,2,1,3,2,2,2,3,4050,21,5600,3,2,1,1,2,17.53333333,13.76666667,2,13.742,17,1036500
Project 1010,215,110,33,2660000,2,1,2,2,2,3,1,1,1,3,3850,21,5350,3,2,2,2,2,17.5,14.56666667,2,14.573,15,991500
Project 1011,265,130,31,4650000,2,2,2,2,2,3,2,1,1,3,3500,21,5150,3,2,2,2,2,19.7,26.23333333,2,26.23333333,11,1082000
Project 1012,255,115,23,4660000,2,1,1,2,2,3,2,2,1,3,3750,15,5450,3,2,2,2,2,18.23333333,12.96666667,2,12.985,12,1023000
Project 1013,235,120,28,3970000,2,1,2,2,2,3,2,2,2,2,2100,17,3250,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,13,770000
Project 1014,215,110,27,2060000,2,1,2,2,2,3,2,2,2,2,2100,17,3150,1,3,2,2,1,11.56666667,11.83333333,3,11.82166667,13,735000
Project 1015,215,110,28,1560000,2,1,2,2,2,3,2,2,2,2,2350,17,3550,1,3,2,2,1,13.83333333,14.53333333,2,14.51866667,14,780000
Project 1016,205,115,26,3360000,2,2,2,2,2,3,2,1,1,3,3050,16,4400,3,3,2,1,2,16.53333333,29.73333333,1,29.76633333,13,918500
Project 1017,185,100,29,4240000,2,2,2,2,2,3,2,1,1,3,3500,15,5150,3,3,2,1,2,19.7,26.23333333,2,26.23333333,12,930000
Project 1018,175,90,22,3240000,2,1,1,1,1,2,1,2,1,2,3950,14,5500,1,2,1,1,2,17.9,15.13333333,3,15.10033333,13,888000
Project 1019,215,105,20,5170000,2,2,2,1,2,3,2,2,2,2,2700,10,4100,1,2,1,1,2,16.53333333,29.73333333,1,29.76633333,10,636000
Project 1020,225,105,21,6150000,2,1,1,2,2,3,2,2,1,1,1750,11,3050,1,2,1,1,2,11.56666667,11.83333333,2,11.82166667,9,487500
Project 1021,225,105,19,5240000,2,1,1,2,2,3,2,2,1,1,3400,11,5000,1,2,1,1,2,18.23333333,12.96666667,2,12.985,9,721500
Project 1022,190,95,20,2260000,1,1,2,1,1,2,1,1,1,1,2550,9,3800,3,1,1,1,2,15.4,18.76666667,1,18.753,8,536000
Project 1023,195,90,18,1280000,2,1,1,1,2,2,1,1,1,1,3800,10,5050,3,2,1,1,2,16.66666667,12.16666667,3,12.16,7,648750
Project 1024,240,125,23,3207000,2,1,2,2,2,3,2,2,2,2,3900,11,5400,1,2,2,2,2,15.96666667,7,3,6.962666667,9,883500
Project 1025,245,125,28,6275000,2,1,2,2,2,3,2,2,2,2,4000,12,5950,1,2,1,1,2,14.3,4.6,3,4.624666667,7,938500
Project 1026,315,155,28,5275000,2,1,2,2,2,4,3,2,2,3,3600,8,5250,1,2,1,1,2,17.9,15.13333333,2,15.10033333,12,1073000
Project 1027,255,105,30,4325000,2,2,2,2,2,2,2,2,1,2,3600,10,5250,1,2,1,1,2,17.9,15.13333333,2,15.10033333,14,762000
Project 1028,235,125,23,2320000,2,1,2,2,2,3,2,1,1,2,3400,11,4800,3,1,1,1,2,18.23333333,12.96666667,2,12.985,8,817500
Project 1029,215,105,30,3570000,2,2,2,2,2,2,1,2,2,1,1550,10,2600,3,2,1,2,2,11.43333333,8.433333333,2,8.437666667,12,447000
Project 1030,215,105,62,4575000,2,2,2,2,2,3,2,2,2,1,2700,10,4100,3,2,1,2,2,16.53333333,29.73333333,3,29.76633333,14,645000
Project 1031,195,100,26,2570000,2,1,2,1,1,2,1,1,2,1,3150,13,4500,1,1,1,1,2,19.7,26.23333333,1,26.23333333,17,665000
Project 1032,185,90,26,2320000,2,2,2,1,1,2,2,2,2,1,2350,13,3600,1,1,1,1,2,15.4,18.76666667,1,18.753,12,382000
Project 1033,315,145,19,6420000,2,2,2,2,1,3,3,2,2,2,3200,14,5000,3,1,2,1,2,18.23333333,12.96666667,2,12.985,15,910000
Project 1034,275,125,16,5270000,2,2,2,1,2,3,2,1,1,2,3500,10,5150,3,3,2,2,1,17.53333333,13.76666667,3,13.742,7,830500
Project 1035,255,115,18,3280000,2,1,2,1,2,3,2,2,1,2,3300,10,4700,3,3,2,2,1,17.5,14.56666667,2,14.573,6,718000
Project 1036,165,85,11,2270000,2,2,2,1,2,2,1,2,1,1,3500,7,4950,1,2,1,1,2,17.53333333,13.76666667,2,13.742,8,510000
Project 1037,155,85,16,1260000,2,1,2,1,1,2,1,1,1,1,3300,9,4500,3,1,1,1,2,17.5,14.56666667,2,14.573,9,452500
Project 1038,205,95,23,2270000,2,2,2,1,1,2,2,2,1,2,3400,8,4850,1,2,1,1,2,17.9,15.13333333,3,15.10033333,10,625000
Project 1039,215,100,26,4370000,2,1,2,2,2,3,2,2,1,2,3300,9,4900,3,2,1,1,2,17.5,14.56666667,2,14.573,12,663250
Project 1040,205,95,16,2170000,2,1,2,1,2,3,1,2,2,2,3500,10,4950,3,1,2,2,2,17.53333333,13.76666667,3,13.742,7,630000
Project 1041,245,115,24,3470000,2,2,2,1,2,3,3,2,2,2,3600,9,5100,3,2,1,1,2,16.66666667,12.16666667,3,12.16,10,772000
Project 1042,235,110,27,980000,2,2,2,1,2,3,2,1,2,1,1400,10,2350,3,1,1,1,2,11.86666667,11.2,2,11.21833333,15,334500
Project 1043,215,100,18,1070000,2,1,2,1,2,2,2,2,2,1,1450,10,2400,1,2,1,1,2,11.76666667,10.33333333,2,10.35033333,12,316750
Project 1044,220,105,28,970000,2,1,2,1,2,3,2,1,1,1,1350,10,2300,3,2,1,1,2,11.43333333,8.433333333,2,8.437666667,11,312000
Project 1045,230,110,25,1000000,2,2,2,2,2,3,2,2,1,1,1400,9,2350,3,2,1,1,2,11.86666667,11.2,2,11.21833333,9,334500
Project 1046,185,90,16,1070000,2,1,2,2,2,2,1,2,1,1,1450,10,2400,3,1,1,1,2,11.76666667,10.33333333,2,10.35033333,7,293250
Project 1047,185,90,16,870000,1,1,1,1,1,2,1,1,1,1,1500,10,2350,3,2,1,1,2,11.63333333,10.6,3,10.575,6,279000
Project 1048,200,90,18,1020000,2,1,1,1,1,2,1,1,1,1,1550,10,2500,3,2,1,1,2,11.56666667,11.83333333,3,11.82166667,7,302750
Project 1049,195,90,16,2940000,2,1,2,2,2,2,2,2,2,2,3300,10,4700,3,3,2,2,2,17.5,14.56666667,3,14.573,8,578250
Project 1050,155,85,21,2100000,2,1,2,2,2,2,1,1,2,2,3750,12,5300,1,2,1,1,2,17.53333333,13.76666667,3,13.742,13,680000
Project 1051,185,85,23,4100000,2,1,2,1,2,2,1,2,2,2,3550,11,5250,1,2,1,1,2,17.5,14.56666667,2,14.573,11,727500
Project 1052,205,95,21,3220000,2,2,2,1,2,2,2,1,1,2,3750,12,5300,3,2,1,1,2,17.53333333,13.76666667,3,13.742,14,820000
Project 1053,215,105,23,2290000,2,2,2,1,2,3,2,1,1,3,3850,13,5450,3,1,1,1,2,16.66666667,12.16666667,2,12.16,11,898000
Project 1054,245,115,13,5250000,2,2,2,2,2,3,2,2,2,3,3550,12,5250,3,3,2,2,2,17.5,14.56666667,2,14.573,14,914000
Project 1055,235,115,18,6240000,2,1,2,1,2,3,2,1,1,3,3650,15,5600,3,3,2,2,2,17.9,15.13333333,2,15.10033333,16,968000
Project 1056,195,95,15,4250000,2,1,2,2,2,2,2,2,1,2,2900,14,4450,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,14,725000
Project 1057,225,100,13,4310000,2,1,2,2,2,2,1,2,2,2,3200,14,4850,3,2,1,1,2,19.7,26.23333333,1,26.23333333,9,795500
Project 1058,205,85,12,3100000,2,1,2,2,2,2,1,1,2,2,3350,13,4850,3,3,2,2,2,19.63333333,14.93333333,2,14.928,11,710000
Project 1059,215,85,13,4200000,2,2,2,1,2,2,2,2,2,2,3450,13,5150,3,2,2,2,2,18.23333333,12.96666667,2,12.985,8,737000
Project 1060,220,105,13,5190000,2,1,2,2,2,3,2,2,1,2,3550,14,5250,3,2,1,1,2,17.5,14.56666667,2,14.573,8,859500
Project 1061,255,125,19,3380000,2,1,2,1,2,3,2,2,1,2,2850,18,4200,1,1,1,1,2,15.4,18.76666667,1,18.753,12,864250
Project 1062,225,115,24,2380000,2,2,2,1,2,3,2,2,2,2,2300,16,3500,1,2,1,1,2,13.83333333,14.53333333,1,14.51866667,15,740250
Project 1063,195,100,18,1380000,2,1,2,1,2,3,1,1,1,1,2250,18,3350,1,1,1,1,2,13.06666667,12.2,2,12.181,11,676000
Project 1064,225,115,22,3380000,2,2,2,2,2,3,3,2,2,2,3800,16,5300,3,2,1,1,2,17.5,14.56666667,2,14.573,10,963500
Project 1065,245,130,15,2380000,2,2,2,1,2,3,2,1,2,3,4000,14,5550,3,2,1,1,2,17.53333333,13.76666667,2,13.742,11,1070500
Project 1066,325,120,15,4380000,2,2,2,1,2,3,2,2,2,3,4000,15,5750,1,1,1,1,2,17.53333333,13.76666667,2,13.742,11,1035000
Project 1067,325,95,22,4380000,2,1,2,2,2,2,1,1,1,3,4100,16,5900,1,2,1,1,2,16.66666667,12.16666667,2,12.16,14,906250
Project 1068,235,120,25,2330000,2,1,2,1,2,3,2,2,1,3,2850,17,4200,1,3,1,1,2,15.4,18.76666667,1,18.753,17,850000
Project 1069,305,160,30,4330000,2,2,2,1,2,4,3,2,1,3,3800,20,5700,3,2,1,1,2,17.5,14.56666667,2,14.573,19,1265000
Project 1070,315,160,30,4480000,2,1,2,2,2,4,2,1,1,3,4100,18,6100,3,2,1,1,2,16.66666667,12.16666667,3,12.16,17,1335000
Project 1071,325,170,20,4680000,2,1,2,1,2,4,3,1,1,3,3800,16,5700,3,3,2,2,2,17.5,14.56666667,2,14.573,15,1315000
Project 1072,245,130,22,5680000,2,2,2,2,2,3,2,2,2,3,4100,17,6100,3,2,1,1,2,16.66666667,12.16666667,3,12.16,16,1136500
Project 1073,245,130,25,4680000,2,1,2,2,2,3,3,2,1,3,3900,18,5850,3,2,2,2,2,17.9,15.13333333,1,15.10033333,14,1114500
Project 1074,245,130,25,4980000,2,1,2,1,2,3,2,2,1,3,3800,18,5700,3,2,2,2,2,17.5,14.56666667,1,14.573,17,1087000
Project 1075,265,140,25,5380000,2,2,2,1,2,3,3,2,2,3,4200,16,6250,3,3,2,2,2,15.96666667,7,3,6.962666667,12,1198000
Project 1076,245,130,30,4380000,2,1,2,1,2,3,2,2,2,3,3800,16,5700,3,3,2,2,2,17.5,14.56666667,2,14.573,15,1092500
Project 1077,305,160,25,4330000,2,2,2,2,2,4,3,2,1,3,2250,18,3700,3,2,1,1,2,13.06666667,12.2,2,12.181,14,1001000
Project 1078,305,160,25,3330000,2,1,2,2,2,4,3,2,1,3,3150,16,4700,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,13,1218000
Project 1079,285,150,20,2530000,2,2,2,2,2,4,3,1,1,3,4000,19,5750,3,2,1,1,2,17.53333333,13.76666667,2,13.742,15,1214000
Project 1080,205,120,17,3530000,2,2,2,1,2,2,1,2,1,3,4100,19,5900,3,1,1,1,2,16.66666667,12.16666667,2,12.16,11,1050000
Project 1081,195,90,18,2530000,2,1,2,1,2,2,1,1,1,3,3900,16,5650,3,1,1,1,2,17.9,15.13333333,2,15.10033333,10,964000
Project 1082,195,90,18,3530000,2,1,2,1,2,2,1,1,1,3,3700,14,5400,3,1,2,2,2,18.23333333,12.96666667,2,12.985,14,1082500
Project 1083,175,70,14,2330000,2,1,2,1,2,2,1,2,1,3,1750,11,3050,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,10,639000
Project 1084,175,70,14,3440000,2,1,2,1,2,2,1,2,1,2,1800,14,3100,3,1,1,2,2,11.66666667,8.5,2,8.489,10,843500
Project 1085,215,80,28,2380000,2,2,2,2,2,3,1,2,2,3,4000,14,6300,3,1,2,1,1,14.3,4.6,2,4.624666667,18,1003000
Project 1086,185,75,21,3380000,2,1,2,2,1,2,2,2,1,2,3600,17,5350,1,3,2,1,2,17.9,15.13333333,2,15.10033333,15,858750
Project 1087,170,70,17,2980000,2,1,2,2,1,2,2,2,1,1,1500,17,2700,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,13,545000
Project 1088,140,70,23,1980000,2,1,2,2,1,2,2,2,1,1,1500,17,2900,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,18,503000
Project 1089,165,70,15,3080000,1,2,1,1,2,2,1,1,1,1,1700,16,2750,1,2,1,1,2,11.63333333,10.6,2,10.575,23,475000
Project 1090,165,90,17,2980000,2,1,1,2,2,3,3,2,2,2,2550,17,4350,3,3,2,2,1,15.4,18.76666667,1,18.753,13,825000
Project 1091,285,80,18,3030000,2,1,2,2,2,3,2,2,1,3,3800,12,5600,1,3,2,2,1,16.66666667,12.16666667,2,12.16,15,920500
Project 1092,235,90,27,1780000,2,1,2,1,1,3,2,1,1,3,4000,11,5850,1,3,2,1,1,14.3,4.6,2,4.624666667,18,1005000
